image_id,file_path,class_name,original_label,source_dataset,source_url,licence,checksum,perceptual_hash,dataset_split,source_group,review_status,review_notes,source,license
dent-632ab29c79237d8f,dent/hitl-03d9446226936c2f.jpg,dent,Dent,Humans in the Loop Car Parts and Car Damages Dataset,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset/resolve/2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9/Car%20parts%20dataset/File1/img/Car%20damages%20103.png,CC0-1.0,632ab29c79237d8f0a5f674ea76c36c892b129f7cb0425ed9b12a8e6cf931942,4080070f1cb68743,train,Car parts dataset/File1/img/Car damages 103.png,accepted,"Pinned mirror revision 2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9; annotation Car parts dataset/File1/ann/Car damages 103.png.json; crop (367, 167, 534, 334); accepted under v2-visual-quality-rules-2026-09-06",Humans in the Loop Car Parts and Car Damages Dataset,CC0-1.0
dent-2e4432ffe81e59f7,dent/hitl-a77e88615c03d4ce.jpg,dent,Dent,Humans in the Loop Car Parts and Car Damages Dataset,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset/resolve/2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9/Car%20parts%20dataset/File1/img/Car%20damages%201066.png,CC0-1.0,2e4432ffe81e59f7dd16ae799b3de2dd5cf5fd74fa30a36c0f57c7d94728bee0,808c1b3928f0f8cf,train,Car parts dataset/File1/img/Car damages 1066.png,accepted,"Pinned mirror revision 2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9; annotation Car parts dataset/File1/ann/Car damages 1066.png.json; crop (243, 238, 394, 390); accepted under v2-visual-quality-rules-2026-09-06",Humans in the Loop Car Parts and Car Damages Dataset,CC0-1.0
dent-ffdb7c5381676c18,dent/hitl-4c60de045bd78aa9.jpg,dent,Dent,Humans in the Loop Car Parts and Car Damages Dataset,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset/resolve/2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9/Car%20parts%20dataset/File1/img/Car%20damages%201071.png,CC0-1.0,ffdb7c5381676c18e887bcaeb701b094d5574ebec7d92b1155e41992d08d260b,ffffcfbd78fec6c6,train,Car parts dataset/File1/img/Car damages 1071.png,accepted,"Pinned mirror revision 2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9; annotation Car parts dataset/File1/ann/Car damages 1071.png.json; crop (498, 330, 605, 438); accepted under v2-visual-quality-rules-2026-09-06",Humans in the Loop Car Parts and Car Damages Dataset,CC0-1.0
dent-1a64773d2289ab89,dent/hitl-d8f1bad5f524cc6c.jpg,dent,Dent,Humans in the Loop Car Parts and Car Damages Dataset,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset/resolve/2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9/Car%20parts%20dataset/File1/img/Car%20damages%201080.png,CC0-1.0,1a64773d2289ab898ea59fef6102941d8f3174baae176ab949b2ab9106d8dafe,33946477f8ff99c4,train,Car parts dataset/File1/img/Car damages 1080.png,accepted,"Pinned mirror revision 2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9; annotation Car parts dataset/File1/ann/Car damages 1080.png.json; crop (350, 135, 453, 238); accepted under v2-visual-quality-rules-2026-09-06",Humans in the Loop Car Parts and Car Damages Dataset,CC0-1.0
dent-a5cd036e61b7de1e,dent/hitl-650aaa583ba06b2c.jpg,dent,Dent,Humans in the Loop Car Parts and Car Damages Dataset,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset/resolve/2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9/Car%20parts%20dataset/File1/img/Car%20damages%201144.png,CC0-1.0,a5cd036e61b7de1e49cd638851e1334153da9ea9770f6d7c5783a605022632a0,b1b3278c9890809f,train,Car parts dataset/File1/img/Car damages 1144.png,accepted,"Pinned mirror revision 2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9; annotation Car parts dataset/File1/ann/Car damages 1144.png.json; crop (648, 127, 809, 288); accepted under v2-visual-quality-rules-2026-09-06",Humans in the Loop Car Parts and Car Damages Dataset,CC0-1.0
dent-59d883e3f2ffc82f,dent/hitl-2be22e4263c37af2.jpg,dent,Dent,Humans in the Loop Car Parts and Car Damages Dataset,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset/resolve/2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9/Car%20parts%20dataset/File1/img/Car%20damages%201151.png,CC0-1.0,59d883e3f2ffc82fe94279b9913ec1e5e60d073a4a9c3a692a3ece11211daab4,ffbe18b9d1e11b1c,train,Car parts dataset/File1/img/Car damages 1151.png,accepted,"Pinned mirror revision 2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9; annotation Car parts dataset/File1/ann/Car damages 1151.png.json; crop (12, 0, 564, 553); accepted under v2-visual-quality-rules-2026-09-06",Humans in the Loop Car Parts and Car Damages Dataset,CC0-1.0
dent-499c45e8af694f39,dent/hitl-84926c31cec51474.jpg,dent,Dent,Humans in the Loop Car Parts and Car Damages Dataset,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset/resolve/2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9/Car%20parts%20dataset/File1/img/Car%20damages%201153.png,CC0-1.0,499c45e8af694f39f9e48cae7ad7cd26616c0d536ca10e3fb85bba2424ad42bb,1493e26e7a2efefc,train,Car parts dataset/File1/img/Car damages 1153.png,accepted,"Pinned mirror revision 2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9; annotation Car parts dataset/File1/ann/Car damages 1153.png.json; crop (194, 134, 473, 413); accepted under v2-visual-quality-rules-2026-09-06",Humans in the Loop Car Parts and Car Damages Dataset,CC0-1.0
dent-3860460b8e1c2b76,dent/hitl-660d3de32bdb3e6b.jpg,dent,Dent,Humans in the Loop Car Parts and Car Damages Dataset,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset/resolve/2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9/Car%20parts%20dataset/File1/img/Car%20damages%20116.png,CC0-1.0,3860460b8e1c2b76ee0d20164c5841a15f813503b4e396bf5e626c3abcaf51f7,004223268400b006,train,Car parts dataset/File1/img/Car damages 116.png,accepted,"Pinned mirror revision 2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9; annotation Car parts dataset/File1/ann/Car damages 116.png.json; crop (276, 147, 431, 303); accepted under v2-visual-quality-rules-2026-09-06",Humans in the Loop Car Parts and Car Damages Dataset,CC0-1.0
dent-cf4b591989fa8b35,dent/hitl-1afdf4954110c8ce.jpg,dent,Dent,Humans in the Loop Car Parts and Car Damages Dataset,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset/resolve/2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9/Car%20parts%20dataset/File1/img/Car%20damages%201168.png,CC0-1.0,cf4b591989fa8b3525a9646964d7959954714a42393fcbd6742fdce9ccc19192,6624b4dc4d87e3eb,train,Car parts dataset/File1/img/Car damages 1168.png,accepted,"Pinned mirror revision 2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9; annotation Car parts dataset/File1/ann/Car damages 1168.png.json; crop (197, 178, 385, 366); accepted under v2-visual-quality-rules-2026-09-06",Humans in the Loop Car Parts and Car Damages Dataset,CC0-1.0
dent-99ae50facf5e75b4,dent/hitl-9f2a771956396fe8.jpg,dent,Dent,Humans in the Loop Car Parts and Car Damages Dataset,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset/resolve/2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9/Car%20parts%20dataset/File1/img/Car%20damages%201192.png,CC0-1.0,99ae50facf5e75b49b839fc4526f13a5876ae5bccfe867906f001decbbfd6fd5,d0c2c2cd0c014307,train,Car parts dataset/File1/img/Car damages 1192.png,accepted,"Pinned mirror revision 2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9; annotation Car parts dataset/File1/ann/Car damages 1192.png.json; crop (416, 156, 549, 288); accepted under v2-visual-quality-rules-2026-09-06",Humans in the Loop Car Parts and Car Damages Dataset,CC0-1.0
