image_id,file_path,class_name,source,dataset_split,license,checksum,source_repository,source_revision,source_image_path,source_annotation_path,source_object_label,source_group,crop_box
dent-03d9446226936c2f,classification/dent/dent-03d9446226936c2f.jpg,dent,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset,,MIT,632ab29c79237d8f0a5f674ea76c36c892b129f7cb0425ed9b12a8e6cf931942,DrBimmer/car-parts-and-damage-dataset,2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9,Car parts dataset/File1/img/Car damages 103.png,Car parts dataset/File1/ann/Car damages 103.png.json,Dent,Car parts dataset/File1/img/Car damages 103.png,"[367,167,534,334]"
dent-777769c7fa8424ef,classification/dent/dent-777769c7fa8424ef.jpg,dent,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset,,MIT,555c8490c1ca5b637d305094b3dfa31cd27629a9408bca38c2d259b9ad41a746,DrBimmer/car-parts-and-damage-dataset,2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9,Car parts dataset/File1/img/Car damages 1187.png,Car parts dataset/File1/ann/Car damages 1187.png.json,Dent,Car parts dataset/File1/img/Car damages 1187.png,"[530,246,626,342]"
dent-73c81918292fb8ef,classification/dent/dent-73c81918292fb8ef.jpg,dent,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset,,MIT,88800da7cf363a602a11408756c31c4bde841bbc8a66f8bd1016ae8c4883ce76,DrBimmer/car-parts-and-damage-dataset,2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9,Car parts dataset/File1/img/Car damages 1229.jpg,Car parts dataset/File1/ann/Car damages 1229.jpg.json,Dent,Car parts dataset/File1/img/Car damages 1229.jpg,"[283,198,395,310]"
dent-c8bfa9d802696a42,classification/dent/dent-c8bfa9d802696a42.jpg,dent,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset,,MIT,3eee0d0f2c8231d7ef7adb138b27c3ed90385f58304e9f9d76608b0516c14f9c,DrBimmer/car-parts-and-damage-dataset,2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9,Car parts dataset/File1/img/Car damages 1238.png,Car parts dataset/File1/ann/Car damages 1238.png.json,Dent,Car parts dataset/File1/img/Car damages 1238.png,"[345,138,632,426]"
dent-4b854af12413842b,classification/dent/dent-4b854af12413842b.jpg,dent,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset,,MIT,8ae9737f1f82928e8ef5a99a8ce701d1e2079200510a89a2513f73b5ede56bfc,DrBimmer/car-parts-and-damage-dataset,2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9,Car parts dataset/File1/img/Car damages 1263.png,Car parts dataset/File1/ann/Car damages 1263.png.json,Dent,Car parts dataset/File1/img/Car damages 1263.png,"[195,51,512,368]"
dent-497a4115d154d5e5,classification/dent/dent-497a4115d154d5e5.jpg,dent,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset,,MIT,7be08917cf1eb3771fc4a255376f5a06bb772189c35ad73dc28a6eed37b5ebc5,DrBimmer/car-parts-and-damage-dataset,2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9,Car parts dataset/File1/img/Car damages 1331.png,Car parts dataset/File1/ann/Car damages 1331.png.json,Dent,Car parts dataset/File1/img/Car damages 1331.png,"[208,194,398,384]"
dent-23e5bee4ddc3ff08,classification/dent/dent-23e5bee4ddc3ff08.jpg,dent,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset,,MIT,b36f491f778db1d7f30c9ecbabae7d4d792d9617e9b69f800c6b5c39853d8131,DrBimmer/car-parts-and-damage-dataset,2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9,Car parts dataset/File1/img/Car damages 1340.jpg,Car parts dataset/File1/ann/Car damages 1340.jpg.json,Dent,Car parts dataset/File1/img/Car damages 1340.jpg,"[88,159,249,320]"
dent-8ec9ab65655d2839,classification/dent/dent-8ec9ab65655d2839.jpg,dent,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset,,MIT,1c008a5b86bc15d1abdfb03f9bcd7415d6bc7df112f157dda40561e527d18142,DrBimmer/car-parts-and-damage-dataset,2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9,Car parts dataset/File1/img/Car damages 173.png,Car parts dataset/File1/ann/Car damages 173.png.json,Dent,Car parts dataset/File1/img/Car damages 173.png,"[232,30,328,126]"
dent-80ae1ca5d04f40a1,classification/dent/dent-80ae1ca5d04f40a1.jpg,dent,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset,,MIT,8a5a914d35c6708d30429431c725d7a23b5ba769c0996696bd9128dc6e7c08b5,DrBimmer/car-parts-and-damage-dataset,2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9,Car parts dataset/File1/img/Car damages 178.png,Car parts dataset/File1/ann/Car damages 178.png.json,Dent,Car parts dataset/File1/img/Car damages 178.png,"[128,160,224,256]"
dent-b090df23f9d15fc1,classification/dent/dent-b090df23f9d15fc1.jpg,dent,https://huggingface.co/datasets/DrBimmer/car-parts-and-damage-dataset,,MIT,6d0baccf7d95f67a028ecb0258b7cc6c2554906297e5d01875be036914d46077,DrBimmer/car-parts-and-damage-dataset,2dbf46f7e23eb0d6f551d38e4f77a11fe9d045b9,Car parts dataset/File1/img/Car damages 191.png,Car parts dataset/File1/ann/Car damages 191.png.json,Dent,Car parts dataset/File1/img/Car damages 191.png,"[56,289,152,385]"
